GENEID	MUTSAMPLES	ZSCOREEXT	QVEXT	ZSCOREPOOLED	PVPOOLED	ZSCORECOSMIC	PVCOSMIC	ZSCOREINT	PVINT	PROJECTID
ENSG00000007171	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000007174	3	0.948742317665705	0.237520845614035	-0.00245738467416102	0.5009804	-1.09052274865598	0.8622585	-1.0392092540015	0.8506463	breastJHU
ENSG00000008197	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000008226	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000009694	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000010318	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000012048	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000020256	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000020922	2	1.10298864396018	0.197523407407407	0.431175917159047	0.3331702	-0.297749690037849	0.6170529	-0.384068213110286	0.6495361	breastJHU
ENSG00000021574	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000033122	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000036473	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000038219	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000038295	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000040731	2	2.07723660699477	0.0438911452941177	0.563470551381424	0.2865573	-0.185466825905043	0.5735686	-0.0522911216992384	0.5208516	breastJHU
ENSG00000046774	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000047634	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000049618	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000049656	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000053524	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000054654	2	2.74124356174182	0.0109894601818182	1.49686814884392	0.06721378	1.03850302694039	0.149518	0.942682171611637	0.1729217	breastJHU
ENSG00000058866	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000059377	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000060237	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000060718	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000061273	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000063660	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000064309	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000064545	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000065526	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000065615	2	3.73962389871218	0.00121328068333333	1.79784801845512	0.03610055	1.50640951218756	0.06598104	1.45868767212151	0.07232555	breastJHU
ENSG00000066136	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000066468	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000067840	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000067955	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000069248	2	3.15098091688594	0.004017227025	1.50253038560877	0.06648009	1.02688549639888	0.1522372	0.997333585497282	0.1593013	breastJHU
ENSG00000069869	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000070269	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000070601	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000071626	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000072121	2	0.100369395272664	0.491108304054054	-0.280629596924605	0.6105027	-1.10225320970434	0.8648242	-1.21008816628815	0.8868775	breastJHU
ENSG00000072818	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000072958	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000073150	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000073536	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000073605	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000074370	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000074657	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000075213	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000075391	2	2.6679222971435	0.0120588602	1.36803777462614	0.08565013	0.893199387428587	0.1858752	0.835813086640531	0.20163	breastJHU
ENSG00000075420	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000076864	2	0.552477934582076	0.347492871212121	0.0212599319945906	0.4915192	-0.826086705161448	0.7956225	-0.880855459025735	0.810802	breastJHU
ENSG00000077327	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000078177	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000079308	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000079432	2	0.652944404026781	0.322139553968254	0.0425408079927599	0.4830338	-0.69474568946413	0.7563927	-0.812633144359528	0.7917858	breastJHU
ENSG00000079435	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000079999	2	1.0759390930392	0.202494523636364	0.516191787301426	0.3028602	-0.138445514480743	0.5550558	-0.24644776273735	0.5973322	breastJHU
ENSG00000080345	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000081237	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000081923	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000082293	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000082684	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000083097	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000083444	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000084092	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000084693	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000085185	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000086288	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000087111	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000087303	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000087903	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000088205	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000088826	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000089053	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000089177	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000089280	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000090054	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000090530	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000090674	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000091129	2	3.01375117329378	0.00566253127777778	1.57011200939651	0.05819453	1.14268327733231	0.1265851	1.05305771436346	0.1461573	breastJHU
ENSG00000091664	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000092853	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000094755	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000095539	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000095596	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000095637	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000099203	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000099899	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000099901	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100033	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100034	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100083	2	0.201753755928485	0.467384695774648	-0.522835995061279	0.6994558	-1.49371417548932	0.93237483	-1.43222738774839	0.92396062	breastJHU
ENSG00000100139	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100142	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100258	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100296	2	1.64890861793817	0.085153722173913	0.59731196775844	0.2751496	-0.0591890670760392	0.5235992	-0.0966304670215841	0.5384901	breastJHU
ENSG00000100316	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100330	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100342	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100412	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100625	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000100664	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000101294	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000101441	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000101542	3	0.850168323890616	0.260194136666667	0.133295726815161	0.4469798	-0.795228614797923	0.7867597	-0.857147928782155	0.8043184	breastJHU
ENSG00000101928	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102024	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102043	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102100	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102316	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102452	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102893	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000102996	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000103175	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000103375	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000103423	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000104044	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000104205	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000104356	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000104365	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000104859	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000105376	3	1.01812625017598	0.217685910714286	0.152580823401163	0.4393644	-0.876997784578923	0.8097561	-0.861073437129285	0.8054012	breastJHU
ENSG00000105392	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000105464	3	3.76800528774068	0.0016250025475	2.02669103024489	0.02134701	1.56162857981681	0.05918776	1.47527491896756	0.07006932	breastJHU
ENSG00000105997	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000106052	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000106086	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000106692	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000107140	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000107611	3	3.34137491948651	0.00274408343333333	1.53857648443032	0.06195386	1.10428672257713	0.1347344	1.107544499778	0.1340293	breastJHU
ENSG00000107816	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000107949	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000108018	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000108175	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000109061	3	1.14678503109559	0.191020784615385	-0.203335489285548	0.5805636	-1.49833082634868	0.93297634	-1.24322118535781	0.8931068	breastJHU
ENSG00000109158	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000109458	2	2.68370900646657	0.0119833849166667	1.47516331837071	0.07008432	0.99922710776407	0.1588423	0.909788755683541	0.181467	breastJHU
ENSG00000109680	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000109927	3	1.65193359369344	0.0865033146666667	1.11060103654137	0.1333701	0.144385007230218	0.4425982	0.13326238067694	0.4469929	breastJHU
ENSG00000110455	2	-0.110626017175251	0.565518901315789	-0.680561490218616	0.7519255	-1.79141882988477	0.96338695	-1.68603052736056	0.95410504	breastJHU
ENSG00000110713	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000110799	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000111087	3	1.12229386022308	0.195068588679245	0.311487184822269	0.3777151	-0.537561650781097	0.7045601	-0.669031486897325	0.7482623	breastJHU
ENSG00000111196	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000111300	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000111602	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000111752	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000111860	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000112739	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000113248	2	2.41936115102626	0.0211771704137931	0.607476120488057	0.2717675	0.197864348415156	0.4215756	0.18418963008594	0.4269323	breastJHU
ENSG00000113262	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000113319	2	0.353450974723248	0.41432088115942	-0.269128141436304	0.6060845	-1.08559186453826	0.8611702	-1.13385662713841	0.8715727	breastJHU
ENSG00000113621	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000113758	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000114270	3	-	-	-	-	-	-	-	-	breastJHU
ENSG00000114346	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000114416	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000114767	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000114786	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000115041	2	3.39065610409914	0.00275415883	1.60869217180801	0.05384183	1.32104634785201	0.09324296	1.28680474930508	0.09908118	breastJHU
ENSG00000115155	2	1.96006387379506	0.0519615431578947	0.775595165032343	0.218994	0.155159207302329	0.4383479	0.135117569923129	0.4462595	breastJHU
ENSG00000115266	2	1.29778348698878	0.150535073137255	0.598889313697327	0.2746233	-0.369183863169661	0.6440047	-0.321972493230571	0.6262632	breastJHU
ENSG00000115414	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000115504	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000115548	1	-	-	-	-	-	-	-	-	breastJHU
