gene-id	gene-symbol	# diseases	# genes
6712	SPTBN2	2	34
8434	RECK	12	2871
127086	LOC127086	1	369
140906	SPG18	1	1
3509	IGHV@	2	256
4628	MYH10	1	24
1387	CREBBP	10	2403
2634	GBP2	1	587
1785	DNM2	6	890
8419	BFSP2	3	36
51599	LSR	1	448
152926	PPM1K	1	5
6642	SNX1	1	448
9333	TGM5	6	722
4893	NRAS	26	2276
3957	LGALS2	5	1419
3497	IGHE	3	391
8409	UXT	1	1064
6531	SLC6A3	40	1906
9638	FEZ1	3	927
7022	TFAP2C	3	2037
728	C5AR1	7	1292
1244	ABCC2	31	3526
11083	DIDO1	2	126
1638	DCT	1	591
25953	PNKD	2	20
29	ABR	1	108
100188748	STHAG5	1	0
5831	PYCR1	4	9
4087	SMAD2	11	2426
1969	EPHA2	17	3570
2203	FBP1	1	0
4358	MPV17	11	128
114836	SLAMF6	1	8
90627	STARD13	1	594
4836	NMT1	3	1206
23788	MTCH2	1	246
167465	ZNF366	4	1617
619538	OMS	2	27
9600	PITPNM1	2	582
3889	KRT83	1	2
84467	FBN3	1	122
282996	RBM20	2	94
57026	PDXP	1	57
7337	UBE3A	7	1916
10129	FRY	1	299
79679	VTCN1	5	1505
23534	TNPO3	1	287
9968	MED12	10	683
7398	USP1	2	38
56666	PANX2	1	1168
100379215	QTV	1	1
1259	CNGA1	2	80
9961	MVP	11	2212
55137	FIGN	1	4
57379	AICDA	15	2151
387569	ACF	1	1
9985	REC8	2	1423
29998	GLTSCR1	4	186
4319	MMP10	7	1873
55109	AGGF1	1	1
65059	RAPH1	2	419
100820764	SCAR12	1	0
51742	ARID4B	2	1436
80275	SHFM1D	1	0
6894	TARBP1	1	300
100271690	CRCS8	2	719
4902	NRTN	2	1181
1203	CLN5	2	10
4261	CIITA	17	2283
343637	RSPO4	1	1
51109	RDH11	2	737
55695	NSUN5	1	15
55720	TSR1	2	308
619542	GOUT1	1	0
10919	EHMT2	2	1361
4429	MRXS7	1	0
26279	PLA2G2D	2	177
4066	LYL1	3	359
23574	PRG1	2	642
154064	RAET1L	1	23
84649	DGAT2	1	76
7479	WNT8B	3	1551
10220	GDF11	1	719
677662	PARK12	3	198
646960	PRSS56	3	11
6375	XCL1	7	946
100188321	HYT8	1	1
8611	PPAP2A	3	1097
8577	TMEFF1	1	96
55968	NSFL1C	1	552
5970	RELA	31	3829
4094	MAF	8	1686
23171	GPD1L	3	31
6421	SFPQ	5	1367
1266	CNN3	2	1081
6578	SLCO2A1	2	51
79924	ADM2	3	251
3326	HSP90AB1	3	1315
4209	MEF2D	1	195
406972	MIR196A1	1	198
50966	ECA1	1	17
10774	DHS	3	0
4784	NFIX	2	1
39	ACAT2	2	1221
7514	XPO1	5	1739
51009	DERL2	1	492
282631	GCCD2	1	1
51025	PAM16	1	1064
